Attributes,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Precipitation,603264,645603,619207,546821,614630,569103,664433,565889,587074,568843,551635,651015,613510
Total inflow s,603264,645603,619207,546821,614630,569103,664433,565889,587074,568843,551635,651015,613510
Evapotranspiration,121257,120588,119478,115980,121657,118545,122628,119220,117729,116081,112415,118374,115625
generation,-159216,-164673,-151867,-159661,-140308,-160850,-167244,-170315,-143725,-154558,-143342,-155088,-156329
To sea and net abstraction,482803,531872,498374,432572,490035,457162,536302,450462,469926,455871,443190,529105,495729
Total outflow s,604060,652460,617852,548553,611692,575707,658931,569681,587655,571952,555605,647479,611354
Soil moisture,-2085,1131,-610,41,-909,845,-1593,1907,-462,-199,-1087,1780,-1514
Lakes and reservoirs,1714,-763,2357,-3338,2124,-761,1957,-3336,91,-335,-1184,2836,81
Groundw ater,-830,-1810,820,290,2750,-4480,3060,-3130,-440,-2200,520,2770,2890
Snow,1709,-1953,1869,508,1369,-3158,1272,-269,1438,-47,398,-1688,945
Ice,-1304,-3462,-3082,767,-2396,950,807,1035,-1209,-327,-2617,-2163,-245
Total change in storage,-796,-6857,1354,-1732,2938,-6604,5503,-3793,-581,-3109,-3970,3536,2156
